Time,BL17:CS:Energy:EiReq,BL17:CS:Energy:Mode,BL17:CS:IPTS,BL17:CS:RunControl:LastRunNumber,BL17:Det:PCharge:C,BL17:SMS:RunInfo:RunTitle
2018-08-29 15:43:38.457,2.0,High Resolution,21308.0,154091.0,1.0000468779698153,Van, 3x3 High Resolution Calibration 2
2018-08-29 16:04:41.621,3.0,High Resolution,21308.0,154092.0,1.0000253039997493,Van, 3x3 High Resolution Calibration 3
2018-08-29 16:25:43.061,4.0,High Resolution,21308.0,154093.0,1.0000608171998377,Van, 3x3 High Resolution Calibration 4
2018-08-29 16:46:42.156,5.0,High Resolution,21308.0,154094.0,1.000046239599806,Van, 3x3 High Resolution Calibration 5
2018-08-29 17:08:12.592,6.0,High Resolution,21308.0,154095.0,1.0000640387298307,Van, 3x3 High Resolution Calibration 6
2018-08-29 17:29:05.378,7.0,High Resolution,21308.0,154096.0,1.0000286354799066,Van, 3x3 High Resolution Calibration 7
2018-08-29 17:49:57.319,8.0,High Resolution,21308.0,154097.0,1.0000531904799195,Van, 3x3 High Resolution Calibration 8
2018-08-29 18:11:36.847,9.0,High Resolution,21308.0,154098.0,1.0000201375999682,Van, 3x3 High Resolution Calibration 9
2018-08-29 18:32:23.610,10.0,High Resolution,21308.0,154099.0,1.0000252627299597,Van, 3x3 High Resolution Calibration 10
2018-08-29 18:56:32.123,12.0,High Resolution,21308.0,154100.0,1.0001119673602872,Van, 3x3 High Resolution Calibration 12
2018-08-29 19:28:26.087,14.0,High Resolution,21308.0,154101.0,1.0000675458195951,Van, 3x3 High Resolution Calibration 14
2018-08-29 19:49:21.575,16.0,High Resolution,21308.0,154102.0,1.0000782713998644,Van, 3x3 High Resolution Calibration 16
2018-08-29 20:13:13.270,18.0,High Resolution,21308.0,154103.0,1.0000597825694149,Van, 3x3 High Resolution Calibration 18
2018-08-29 20:34:07.180,20.0,High Resolution,21308.0,154104.0,1.0000314395094114,Van, 3x3 High Resolution Calibration 20
2018-08-29 20:58:13.878,25.0,High Resolution,21308.0,154105.0,1.0000824334899423,Van, 3x3 High Resolution Calibration 25
2018-08-29 21:19:07.866,30.0,High Resolution,21308.0,154106.0,1.0000610134399441,Van, 3x3 High Resolution Calibration 30
2018-08-29 21:41:17.272,35.0,High Resolution,21308.0,154107.0,1.0000926849599137,Van, 3x3 High Resolution Calibration 35
2018-08-29 22:02:12.143,40.0,High Resolution,21308.0,154108.0,1.0000845379497745,Van, 3x3 High Resolution Calibration 40
2018-08-29 22:26:11.178,50.0,High Resolution,21308.0,154109.0,1.0000583285099383,Van, 3x3 High Resolution Calibration 50
2018-08-29 22:47:58.488,60.0,High Resolution,21308.0,154110.0,1.0000940188499843,Van, 3x3 High Resolution Calibration 60
2018-08-29 23:08:57.420,70.0,High Resolution,21308.0,154111.0,1.000022473309952,Van, 3x3 High Resolution Calibration 70
2018-08-29 23:30:50.358,80.0,High Resolution,21308.0,154112.0,1.0000908972497473,Van, 3x3 High Resolution Calibration 80
2018-08-29 23:52:41.563,90.0,High Resolution,21308.0,154113.0,1.0000530108199124,Van, 3x3 High Resolution Calibration 90
2018-08-30 00:13:36.317,100.0,High Resolution,21308.0,154114.0,1.0000229598297568,Van, 3x3 High Resolution Calibration 100
2018-08-30 00:35:25.605,120.0,High Resolution,21308.0,154115.0,1.000083633279916,Van, 3x3 High Resolution Calibration 120
2018-08-30 00:56:44.959,140.0,High Resolution,21308.0,154116.0,1.0000709386396949,Van, 3x3 High Resolution Calibration 140
2018-08-30 01:20:59.029,160.0,High Resolution,21308.0,154117.0,1.0000438681397148,Van, 3x3 High Resolution Calibration 160
2018-08-30 01:41:56.417,180.0,High Resolution,21308.0,154118.0,1.0000674191700558,Van, 3x3 High Resolution Calibration 180
2018-08-30 02:02:50.905,200.0,High Resolution,21308.0,154119.0,1.0001018245899729,Van, 3x3 High Resolution Calibration 200
2018-08-30 02:23:42.833,225.0,High Resolution,21308.0,154120.0,1.000090662709813,Van, 3x3 High Resolution Calibration 225
2018-08-30 02:44:33.531,250.0,High Resolution,21308.0,154121.0,1.000064888819977,Van, 3x3 High Resolution Calibration 250
2018-08-30 03:05:25.236,275.0,High Resolution,21308.0,154122.0,1.0001092437699977,Van, 3x3 High Resolution Calibration 275
2018-08-30 03:26:15.811,300.0,High Resolution,21308.0,154123.0,1.000076802480011,Van, 3x3 High Resolution Calibration 300
