Time,BL17:CS:Energy:EiReq,BL17:CS:Energy:Mode,BL17:CS:IPTS,BL17:CS:RunControl:LastRunNumber,BL17:Det:PCharge:C,BL17:Mot:Sample:Axis1,BL17:SMS:RunInfo:RunTitle
2018-09-03 03:07:46.842,15.0,High Flux,21308.0,154407.0,1.0001577175200669,240.0,Van, 3x3 High Flux Calibration 15
2018-09-03 03:24:28.759,20.0,High Flux,21308.0,154408.0,1.0000409568801047,240.0,Van, 3x3 High Flux Calibration 20
2018-09-03 03:40:16.357,25.0,High Flux,21308.0,154409.0,1.0000885482101451,240.0,Van, 3x3 High Flux Calibration 25
2018-09-03 03:55:09.044,31.7,High Flux,21308.0,154410.0,1.0000710359801135,240.0,Van, 3x3 High Flux Calibration 32
2018-09-03 04:13:20.598,34.0,High Flux,21308.0,154411.0,1.000067287830043,240.0,Van, 3x3 High Flux Calibration 34
2018-09-03 04:26:57.611,40.8,High Flux,21308.0,154412.0,1.000133582200168,240.0,Van, 3x3 High Flux Calibration 40.8
2018-09-03 04:43:40.964,48.0,High Flux,21308.0,154413.0,1.000110120090096,240.0,Van, 3x3 High Flux Calibration 48
2018-09-03 04:57:23.462,60.0,High Flux,21308.0,154414.0,1.0001444233900734,240.0,Van, 3x3 High Flux Calibration 60
2018-09-03 05:11:04.899,70.0,High Flux,21308.0,154415.0,1.0001590986800235,240.0,Van, 3x3 High Flux Calibration 70
2018-09-03 05:25:25.424,80.0,High Flux,21308.0,154416.0,1.0000944770500855,240.0,Van, 3x3 High Flux Calibration 80
2018-09-03 05:40:11.532,90.0,High Flux,21308.0,154417.0,1.0000502842999826,240.0,Van, 3x3 High Flux Calibration 90
2018-09-03 05:53:46.491,100.0,High Flux,21308.0,154418.0,1.000023327629992,240.0,Van, 3x3 High Flux Calibration 100
2018-09-03 06:07:52.634,120.0,High Flux,21308.0,154419.0,1.0001054707400865,240.0,Van, 3x3 High Flux Calibration 120
2018-09-03 06:21:51.292,140.0,High Flux,21308.0,154420.0,1.000101619450081,240.0,Van, 3x3 High Flux Calibration 140
2018-09-03 06:38:41.516,160.0,High Flux,21308.0,154421.0,1.0000500873800147,240.0,Van, 3x3 High Flux Calibration 160
2018-09-03 06:52:16.545,180.0,High Flux,21308.0,154422.0,1.0000507539699677,240.0,Van, 3x3 High Flux Calibration 180
2018-09-03 07:05:48.235,200.0,High Flux,21308.0,154423.0,1.0001002565300428,240.0,Van, 3x3 High Flux Calibration 200
2018-09-03 07:20:07.015,225.0,High Flux,21308.0,154424.0,1.000133559530047,240.0,Van, 3x3 High Flux Calibration 225
2018-09-03 07:33:39.951,250.0,High Flux,21308.0,154425.0,1.0000927125599028,240.0,Van, 3x3 High Flux Calibration 250
2018-09-03 07:47:12.643,275.0,High Flux,21308.0,154426.0,1.0000872079299779,240.0,Van, 3x3 High Flux Calibration 275
2018-09-03 08:01:28.534,300.0,High Flux,21308.0,154427.0,1.0001841386500119,240.0,Van, 3x3 High Flux Calibration 300
2018-09-03 08:15:27.343,350.0,High Flux,21308.0,154428.0,1.0001343977599706,240.0,Van, 3x3 High Flux Calibration 350
2018-09-03 08:29:52.305,400.0,High Flux,21308.0,154429.0,1.0001047120299908,240.0,Van, 3x3 High Flux Calibration 400
