Time,BL17:CS:IPTS,BL17:CS:RunControl:LastRunNumber,BL17:Chop:Skf1:EnergyReq,BL17:Chop:Skf1:SpeedReq,BL17:Chop:Skf2:EnergyReq,BL17:Chop:Skf2:SpeedReq,BL17:Chop:Skf3:EnergyReq,BL17:Chop:Skf3:SpeedReq,BL17:Det:PCharge:C,BL17:Mot:Sample:Axis1,BL17:Mot:attenuator1,BL17:Mot:attenuator2,BL17:Mot:chtrans,BL17:SE:Lakeshore1:SETP_S1,BL17:SMS:RunInfo:RunTitle
2018-08-30 18:51:10.142,21308.0,154192.0,800.0,180.0,800.0,600.0,800.0,120.0,1.0000432162899882,240.0,0.1,93.4,8.5,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=800meV F1=600 T0=180
2018-08-30 19:11:30.618,21308.0,154193.0,800.0,180.0,800.0,600.0,800.0,120.0,1.0000239714298147,240.0,0.1,93.4,8.5,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=800meV F1=600 T0=180
2018-08-30 19:39:20.653,21308.0,154194.0,600.0,150.0,600.0,600.0,600.0,120.0,1.0000980688996866,240.0,0.1,93.4,8.5,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=600meV F1=600 T0=150
2018-08-30 19:59:42.075,21308.0,154195.0,600.0,150.0,600.0,600.0,600.0,120.0,1.000073084409587,240.0,0.1,93.4,8.5,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=600meV F1=600 T0=150
2018-08-30 20:25:34.497,21308.0,154196.0,250.0,120.0,250.0,360.0,250.0,120.0,1.0000171527797248,240.0,0.1,93.4,8.5,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=250meV F1=360 T0=120
2018-08-30 20:45:55.698,21308.0,154197.0,250.0,120.0,250.0,360.0,250.0,120.0,1.0000659196294952,240.0,0.1,93.4,8.5,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=250meV F1=360 T0=120
2018-08-30 21:17:12.647,21308.0,154198.0,160.0,120.0,160.0,120.0,160.0,600.0,1.000078762449706,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=160meV F2=600 T0=120
2018-08-30 21:43:20.366,21308.0,154199.0,160.0,120.0,160.0,120.0,160.0,600.0,1.0000378149796683,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=160meV F2=600 T0=120
2018-08-30 22:07:01.973,21308.0,154200.0,55.0,90.0,55.0,120.0,55.0,420.0,1.0000809922097798,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=55meV F2=430 T0=90
2018-08-30 22:27:21.807,21308.0,154201.0,55.0,90.0,55.0,120.0,55.0,420.0,1.000021018229655,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=55meV F2=430 T0=90
2018-08-30 22:50:45.078,21308.0,154202.0,32.0,60.0,32.0,120.0,32.0,300.0,1.000058302769642,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=32meV F2=300 T0=60
2018-08-30 23:11:06.274,21308.0,154203.0,32.0,60.0,32.0,120.0,32.0,300.0,1.0000530003297976,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=32meV F2=300 T0=60
2018-08-30 23:34:43.518,21308.0,154204.0,16.0,30.0,16.0,120.0,16.0,180.0,1.000025722919693,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=16meV F2=180 T0=30
2018-08-30 23:55:03.030,21308.0,154205.0,16.0,30.0,16.0,120.0,16.0,180.0,1.0000603401597221,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=16meV F2=180 T0=30
2018-08-31 00:16:55.407,21308.0,154206.0,8.0,30.0,8.0,120.0,8.0,120.0,1.0000396452597706,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=8 meV F2=120 T0=30
2018-08-31 00:37:17.366,21308.0,154207.0,8.0,30.0,8.0,120.0,8.0,120.0,1.000082580339782,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=8 meV F2=120 T0=30
2018-08-31 00:58:26.237,21308.0,154208.0,4.0,30.0,4.0,120.0,4.0,120.0,1.0000851583898238,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=8 meV F2=120 T0=30
2018-08-31 01:18:48.009,21308.0,154209.0,4.0,30.0,4.0,120.0,4.0,120.0,1.0000344118696447,240.0,0.1,93.4,-422.0,295.0,H2O water 5x5x0.01cm3 m=0.39g T=295K, Ei=8 meV F2=120 T0=30
