Time,BL17:CS:Energy:EiReq,BL17:CS:Energy:Mode,BL17:CS:IPTS,BL17:CS:RunControl:LastRunNumber,BL17:Det:PCharge:C,BL17:SMS:RunInfo:RunTitle
2018-08-29 09:32:37.520,120.0,RRM,21308.0,154082.0,2.0000718824110306,Van, 3x3 RRM Calibration 120
2018-08-29 10:18:17.603,300.0,RRM,21308.0,154083.0,2.000041622890985,Van, 3x3 RRM Calibration 300
2018-08-29 10:58:49.170,400.0,RRM,21308.0,154084.0,2.000031618040468,Van, 3x3 RRM Calibration 400
2018-08-29 11:39:19.631,500.0,RRM,21308.0,154085.0,2.0000571631892123,Van, 3x3 RRM Calibration 500
2018-08-29 12:19:51.757,600.0,RRM,21308.0,154086.0,2.0000218821810876,Van, 3x3 RRM Calibration 600
2018-08-29 13:01:11.550,700.0,RRM,21308.0,154087.0,2.0000355168682966,Van, 3x3 RRM Calibration 700
2018-08-29 13:41:43.544,800.0,RRM,21308.0,154088.0,2.000077639208067,Van, 3x3 RRM Calibration 800
2018-08-29 14:22:11.788,900.0,RRM,21308.0,154089.0,2.0000521498797035,Van, 3x3 RRM Calibration 900
2018-08-29 15:02:58.448,2000.0,RRM,21308.0,154090.0,2.0000681317492046,Van, 3x3 RRM Calibration 2000
