Time,BL17:CS:Energy:EiReq,BL17:CS:Energy:Mode,BL17:CS:IPTS,BL17:CS:RunControl:LastRunNumber,BL17:Det:PCharge:C,BL17:Mot:Sample:Axis1,BL17:SMS:RunInfo:RunTitle
2018-09-01 20:52:07.532,8.0,High Resolution,21308.0,154351.0,2.000040813500604,0.0,Van, 5x5 High res Calibration 8
2018-09-01 21:32:31.159,8.0,High Resolution,21308.0,154352.0,2.000047748921363,0.0,Van, 5x5 High res Calibration 8
2018-09-01 22:12:32.657,8.0,High Resolution,21308.0,154353.0,2.0000270991509645,0.0,Van, 5x5 High res Calibration 8
2018-09-01 22:53:02.387,8.0,High Resolution,21308.0,154354.0,2.000094047730364,0.0,Van, 5x5 High res Calibration 8
2018-09-01 23:37:12.142,25.0,High Resolution,21308.0,154355.0,2.0000825325106732,0.0,Van, 5x5 High res Calibration 25
2018-09-02 00:17:15.219,25.0,High Resolution,21308.0,154356.0,2.000087638190891,0.0,Van, 5x5 High res Calibration 25
2018-09-02 01:06:56.345,25.0,High Resolution,21308.0,154357.0,2.0000259384605394,0.0,Van, 5x5 High res Calibration 25
2018-09-02 01:46:58.552,25.0,High Resolution,21308.0,154358.0,2.000099825390813,0.0,Van, 5x5 High res Calibration 25
2018-09-02 02:31:26.427,50.0,High Resolution,21308.0,154359.0,2.000096094990666,0.0,Van, 5x5 High res Calibration 50
2018-09-02 03:11:56.507,50.0,High Resolution,21308.0,154360.0,2.0000660011307847,0.0,Van, 5x5 High res Calibration 50
2018-09-02 03:52:01.831,50.0,High Resolution,21308.0,154361.0,2.000092334460332,0.0,Van, 5x5 High res Calibration 50
2018-09-02 04:32:11.208,50.0,High Resolution,21308.0,154362.0,2.000022098300958,0.0,Van, 5x5 High res Calibration 50
2018-09-02 05:15:32.550,80.0,High Resolution,21308.0,154363.0,2.000071420111235,0.0,Van, 5x5 High res Calibration 80
2018-09-02 05:55:58.534,80.0,High Resolution,21308.0,154364.0,2.0000766191608075,0.0,Van, 5x5 High res Calibration 80
2018-09-02 06:36:00.321,80.0,High Resolution,21308.0,154365.0,2.000068939131415,0.0,Van, 5x5 High res Calibration 80
2018-09-02 07:17:14.780,80.0,High Resolution,21308.0,154366.0,2.000043609680922,0.0,Van, 5x5 High res Calibration 80
2018-09-02 08:03:31.212,160.0,High Resolution,21308.0,154367.0,2.0000405933904326,0.0,Van, 5x5 High res Calibration 160
2018-09-02 08:44:44.263,160.0,High Resolution,21308.0,154368.0,2.0000296961896455,0.0,Van, 5x5 High res Calibration 160
2018-09-02 09:25:28.757,160.0,High Resolution,21308.0,154369.0,2.0000708888398973,0.0,Van, 5x5 High res Calibration 160
2018-09-02 10:03:40.186,160.0,High Resolution,21308.0,154370.0,2.000092772241111,0.0,Van, 5x5 High res Calibration 160
2018-09-02 10:42:32.230,300.0,High Resolution,21308.0,154371.0,2.0000393867907245,0.0,Van, 5x5 High res Calibration 300
2018-09-02 11:18:51.043,300.0,High Resolution,21308.0,154372.0,2.0001029248111126,0.0,Van, 5x5 High res Calibration 300
2018-09-02 11:54:50.623,300.0,High Resolution,21308.0,154373.0,2.000022577580959,0.0,Van, 5x5 High res Calibration 300
2018-09-02 12:30:04.236,300.0,High Resolution,21308.0,154374.0,2.000029892380822,0.0,Van, 5x5 High res Calibration 300
